startYear,startMonth,startDay,endYear,endMonth,endDay,event,image,group,groupTitle,groupColor
1542,12,26,,,,三河国岡崎城内で誕生,,5,徳川家康,
1555,3,1,,,,今川義元の元で元服,,5,徳川家康,
1560,5,23,,,,岡崎城へ入る,static/img/test.jpg,5,徳川家康,
1575,5,12,,,,長篠の戦い,static/img/nobunaga_nagasino.jpg,5,徳川家康,
1582,6,2,,,,本能寺の変,static/img/nobunaga_honnoji.jpg,5,徳川家康,
1586,12,4,,,,駿府城へ入る,,5,徳川家康,
1598,9,18,,,,秀吉 死亡,,5,徳川家康,
1600,9,15,,,,関ヶ原の合戦,,5,徳川家康,
1614,11,1,,,,大坂冬の陣,,5,徳川家康,
1615,5,6,,,,大坂夏の陣,,5,徳川家康,
1616,4,17,,,,死去,,5,徳川家康,
1534,5,1,,,,織田信秀の嫡男として誕生,,6,織田信長,
1548,1,1,,,,濃姫を娶る,,6,織田信長,
1551,3,1,,,,家督を継ぐ,,6,織田信長,
1560,5,1,,,,桶狭間の戦い,https://www.touken-world-ukiyoe.jp/app/uploads/2020/07/b78870a2433f99d91d1e588b359aaae2-1024x1522.jpg,6,織田信長,
1567,11,1,,,,天下布武を使用,,6,織田信長,
1571,9,1,,,,延暦寺を焼き討ち,https://www.touken-world.jp/wp/wp-content/uploads/2019/01/234ec3a4b7798f16f915a812282169dd.jpg,6,織田信長,
1575,5,1,,,,長篠の戦い,static/img/nobunaga_nagasino.jpg,6,織田信長,
1579,5,1,,,,安土城天守閣完成。,static/img/nobunaga_azuchi.jpg,6,織田信長,
1582,6,1,,,,本能寺の変,static/img/nobunaga_honnoji.jpg,6,織田信長,
